question,status,sql,row_count,error,column_names
List all products,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get all customers,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Show all orders,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
List all employees,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get all offices,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Show all product lines,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
List all payments,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get product names and prices,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get customer names and cities,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
List employee first and last names,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Get all order dates,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
Show product vendor list,success,SELECT * FROM information_schema.tables WHERE table_schema = 'public';,7,,"[""table_catalog"", ""table_schema"", ""table_name"", ""table_type"", ""self_referencing_column_name"", ""reference_generation"", ""user_defined_type_catalog"", ""user_defined_type_schema"", ""user_defined_type_name"", ""is_insertable_into"", ""is_typed"", ""commit_action""]"
