question,Intent,Tables,Columns,Filters,Joins,RawResponse
List all products,List all products,products,*,None,None,"{""Intent"": ""List all products"", ""Tables"": ""products"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all customers,Retrieve all customers,customers,*,None,None,"{""Intent"": ""Retrieve all customers"", ""Tables"": ""customers"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show all orders,Retrieve all orders,orders,*,None,None,"{""Intent"": ""Retrieve all orders"", ""Tables"": ""orders"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all employees,List all employees,employees,*,None,None,"{""Intent"": ""List all employees"", ""Tables"": ""employees"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all offices,Retrieve all records,offices,*,None,None,"{""Intent"": ""Retrieve all records"", ""Tables"": ""offices"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show all product lines,Retrieve all product lines,productlines,*,None,None,"{""Intent"": ""Retrieve all product lines"", ""Tables"": ""productlines"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all payments,List all records,payments,*,None,None,"{""Intent"": ""List all records"", ""Tables"": ""payments"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get product names and prices,Retrieve product names and prices,products,"productName, price",None,None,"{""Intent"": ""Retrieve product names and prices"", ""Tables"": ""products"", ""Columns"": ""productName, price"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get customer names and cities,Retrieve customer names and cities,customers,"customerName, city",None,None,"{""Intent"": ""Retrieve customer names and cities"", ""Tables"": ""customers"", ""Columns"": ""customerName, city"", ""Filters"": ""None"", ""Joins"": ""None""}"
List employee first and last names,List employee names,employees,"firstName, lastName",None,None,"{""Intent"": ""List employee names"", ""Tables"": ""employees"", ""Columns"": ""firstName, lastName"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all order dates,Retrieve all order dates,orders,orderDate,None,None,"{""Intent"": ""Retrieve all order dates"", ""Tables"": ""orders"", ""Columns"": ""orderDate"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show product vendor list,Retrieve list of product vendors,products,productVendor,None,None,"{""Intent"": ""Retrieve list of product vendors"", ""Tables"": ""products"", ""Columns"": ""productVendor"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all product codes,Retrieve all product codes,products,productCode,None,None,"{""Intent"": ""Retrieve all product codes"", ""Tables"": ""products"", ""Columns"": ""productCode"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all countries from offices,List all countries,offices,country,None,None,"{""Intent"": ""List all countries"", ""Tables"": ""offices"", ""Columns"": ""country"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show all order statuses,Retrieve all order statuses,orders,status,None,None,"{""Intent"": ""Retrieve all order statuses"", ""Tables"": ""orders"", ""Columns"": ""status"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all payment amounts,Retrieve all payment amounts,payments,amount,None,None,"{""Intent"": ""Retrieve all payment amounts"", ""Tables"": ""payments"", ""Columns"": ""amount"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all job titles,List all job titles,employees,jobTitle,None,None,"{""Intent"": ""List all job titles"", ""Tables"": ""employees"", ""Columns"": ""jobTitle"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get customer phone numbers,Retrieve customer phone numbers,customers,phone,None,None,"{""Intent"": ""Retrieve customer phone numbers"", ""Tables"": ""customers"", ""Columns"": ""phone"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show product MSRP values,Retrieve product MSRP values,products,MSRP,None,None,"{""Intent"": ""Retrieve product MSRP values"", ""Tables"": ""products"", ""Columns"": ""MSRP"", ""Filters"": ""None"", ""Joins"": ""None""}"
List order numbers,List order numbers,orders,orderNumber,None,None,"{""Intent"": ""List order numbers"", ""Tables"": ""orders"", ""Columns"": ""orderNumber"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get orders with customer names,Retrieve orders with customer names,"orders, customers","orders.orderNumber, customers.customerName",None,orders.customerNumber = customers.customerNumber,"{""Intent"": ""Retrieve orders with customer names"", ""Tables"": ""orders, customers"", ""Columns"": ""orders.orderNumber, customers.customerName"", ""Filters"": ""None"", ""Joins"": ""orders.customerNumber = customers.customerNumber""}"
Get employees with office city,Retrieve employees with their office city,"employees, offices","employees.*, offices.city",None,employees.officeCode = offices.officeCode,"{""Intent"": ""Retrieve employees with their office city"", ""Tables"": ""employees, offices"", ""Columns"": ""employees.*, offices.city"", ""Filters"": ""None"", ""Joins"": ""employees.officeCode = offices.officeCode""}"
